Id,Title,Release_date,Rating,Times_listed,Number_of_reviews,Summary,Plays,Playing,Backlogs,Wishlist
1205,Lollipop Chainsaw,"Jun 12, 2012",3.4,295,295,"Lollipop Chainsaw is the 'un-deadly' story of sweet and killer zombie hunter Juliet Starling and her quest to uncover the root of a colossal zombie outbreak. With her wickedly awesome chainsaw in hand, Juliet slices, dices and splits her way through hordes of the undead, but soon realizes the horde is only the opening act to a festival of zombie rock lords determined to kill the chainsaw wielding cheerleader.",16000,32,717,695
1206,Pokémon LeafGreen,"Jan 29, 2004",3.8,413,413,"Pokémon LeafGreen Version and Pokémon FireRed Version are a pair of core series Generation III games that are set in the Kanto region. They were released in Japan on January 29, 2004, in North America on September 9, 2004, in Australia on September 23, 2004 and in Europe on October 1, 2004.
              
              As the first remakes in the Pokémon franchise, the games revisit the original pair of Pokémon games, Pokémon Red and Green Versions, and so feature all of the characters, plot elements, and challenges of them, but with several important upgrades to bring them up to speed with other Generation III games.
              
              The Game Boy Advance Wireless Adapter was initially included with the games when they were first released, eliminating the need for Game Link Cables when trading between the two games (and later Pokémon Emerald Version). In later copies, it was sold separately.
              
              FireRed and LeafGreen went on to become the second best-selling games of the Game Boy Advance, only behind Pokémon Ruby and Sapphire Versions. They also received Nintendo's Player's Choice awards.",59000,62,326,128
1207,Bowser's Fury,"Feb 12, 2021",3.9,497,497,"Team up with Bowser Jr. in a free-roaming 3D adventure to stop his dad’s rampage. Run and jump across a series of islands to collect the mysterious Cat Shines, and battle against the colossal Fury Bowser whenever he emerges from the water to wreak havoc.",21000,35,466,314
1208,ZeroRanger,"Sep 28, 2018",4.3,317,317,"""ZeroRanger is a vertically scrolling 2D shoot'em up with heavy emphasis on shooting, dodging and... mystery?
             

              A menacing alien threat, GREEN ORANGE, has begun its invasion. Only two secondary fighters remain against complete annihilation.
              
              Blast your way through enemy forces in order to unleash your fighter's latent potential, unlocking new weapons and abilities.
              
              But as you grow stronger, so does your understanding of the true nature of your adversary...",561,30,422,356
1209,Labyrinth of Galleria: The Moon Society,"nov. 26, 2020",4.3,49,49,"From the creators of Labyrinth of Refrain: Coven of Dusk comes a new chapter in the dungeon-exploring adventure filled with charm and mystery! Summoned by the magnificent Madame Marta, you are but a wandering spirit awaiting your next command. With the help of Eureka, Madame Marta’s assistant, and an army of soul-infused puppets, you are tasked with delving into the depths of a mysterious underground labyrinth teeming with enchanted monsters to unearth the Curios d'art that lie within!
             

              Labyrinth of Galleria: The Moon Society offers dungeon-crawling adventures with new quality of life improvements and 50 hours of exploration alongside a cast of fully customizable companions to do your bidding. Use a variety of pacts and puppet soldiers to customize a team of up to 40 fighters to dive into the darkness and discover the secrets with the Labyrinth of Galleria…if you dare!",67,26,120,193
1210,Street Fighter II,"Feb 01, 1991",3.5,433,433,"A sequel to Street Fighter, Street Fighter II improved upon the many concepts introduced in the first game, including the use of command-based special moves and a six-button configuration, while offering players a selection of multiple playable characters, each with their own unique fighting style and special moves.
             

              Street Fighter II is credited for starting the fighting game boom during the 1990s. Its success led to the production of several updated versions, each offering additional features and characters over previous versions, as well as many home versions. Some of the home versions of the Street Fighter II games have sold millions of copies, with the SNES port of the first Street Fighter II being Capcom's best-selling consumer game of all-time as of 2008.
             

              Street Fighter II follows several of the conventions and rules already established by its original 1987 predecessor. The player engages opponents in one-on-one close quarter combat in a series of best-two-out-of-three matches. The objective of each round is to deplete the opponent's vitality before the timer runs out. If both opponents knock each other out at the same time or the timer runs out with both fighters having an equal amount of vitality left, a ""double KO"" or ""draw game"" is declared and additional rounds will be played until sudden death. In the first Street Fighter II, a match could last up to ten rounds if there was no clear winner; this was reduced to four rounds in Champion Edition and onward. If there is no clear winner by the end of the final round, then either the computer-controlled opponent will win by default in a single-player match or both fighters will lose in a 2-player match.
             

              After every third match in the single player mode, the player will participate in a ""bonus game"" for additional points. The bonus games includes (in order) a car-breaking event; a barrel breaking bonus game where the barrels are dropped off from a conveyor belt above the player; and a drum-breaking bonus game where drums are flammable and piled over each other. The bonus games were removed from the arcade version of Super Street Fighter II Turbo.
             

              Like in the original, the game's controls uses a configuration of an eight-directional joystick and six attack buttons. The player uses the joystick to jump, crouch and move the character towards or away from the opponent, as well as to guard the character from an opponent's attacks. There are three punch buttons and three kick buttons of differing strength and speed (Light, Medium and Heavy). The player can perform a variety of basic moves in any position, including grabbing/throwing attacks, which were not featured in the original Street Fighter. Like in the original, the player can perform special moves by inputting a combination of directional and button-based commands.
             

              Street Fighter II differs from the original due to the selection of multiple playable characters, each with their distinct fighting styles and special moves. Additionally, the player can also ""cancel"" during animation by performing another move, allowing for a combination of several basic and special moves. Both of these features would be expanded upon in subsequent installments.",43000,11,158,99
1211,Resident Evil: Revelations,"Jan 26, 2012",3.2,469,469,"Resident Evil: Revelations is a survival horror game that restores elements of the series' nature, as opposed to the survival action of Resident Evil 5. The game features a single-player mode where the player must complete a series of episodes that involve solving puzzles and defeating enemies, and a multiplayer mode where players may fight their way through altered single-player scenarios.",29000,55,939,297
1212,Shin Megami Tensei,"oct. 30, 1992",3.3,433,433,"The story follows a nameless protagonist who lives in near-future Tokyo. When a portal to the realm of demons is opened, United States officials order a nuclear attack on Tokyo. Transported with two other supporting characters thirty years into the future, the protagonist finds the Earth ruined by a demon invasion, which is now the stage for an escalating conflict between the Order of Messiah and the Ring of Gaea, conflicting cults who wish to bring about kingdoms for their respective patron deities (YHVH and Lucifer). The story is influenced by moral decisions the protagonist makes, aligning him either with the Order, the Ring of Gaea, or setting him up as an independent agent.
             

              The gameplay uses first-person navigation of dungeons and turn-based battles against demons. The player can recruit demons as allies by talking to them rather than fighting them, and two to three demons can be fused to create new demons.",13000,146,868,455
1213,Tomb Raider,"oct. 25, 1996",3.3,395,395,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.
             

              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.
             

              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",27000,45,773,263
1214,FIFA 23,"Sep 29, 2022",2.6,47,47,"FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology that delivers even more gameplay realism, men’s and women’s FIFA World Cup coming during the season, women’s club teams, cross-play features, and more.",523,112,27,36
1215,Battlefield: Bad Company 2,"Mar 02, 2010",3.6,288,288,"Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""
             

              New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.
             

              Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.",42000,23,349,119
1216,The Walking Dead: A New Frontier,"Dec 20, 2016",2.8,345,345,"The Walking Dead: A New Frontieris an episodic graphic adventure game based on Robert Kirkman's The Walking Dead comic book series developed by Telltale Games. It is Telltale's third season of its The Walking Dead series. The game employs the same narrative structure as the past seasons, where player choice in one episode will have a permanent impact on future story elements. The player choices recorded in save files from the first two seasons and the additional episode ""400 Days"" carry over into the third season.
             

              Clementine, who was the player's companion during the first season and the player-character in season two returns as a player-character along with another player-character, Javier ""Javi"" Garcia.
             

              The game takes place in the same fictional world as the comic, with the zombie apocalypse having occurred. The main characters of the game are original characters, however due to time skips in season two and between seasons two and three, the timeline is caught up to where the comics are.",29000,19,423,181
1217,Ninja Gaiden Black,"Sep 20, 2005",4.3,294,294,"In Ninja Gaiden Black you can reprise the role of Ryu Hayabusa, ninja extraordinaire. This sequel to Ninja Gaiden supplies a new story and new missions, plus two more difficulty settings and cinematic cut scenes that provide background about the protagonist. Ninja Gaiden Black also incorporates the additional content from Hurricane Packs 1 and 2 and includes unlockable content such as the original arcade version of Ninja Gaiden.",992,41,495,343
1218,Sid Meier's Civilization V,"Sep 21, 2010",3.9,320,320,"Sid Meier's Civilization V is a turn-based strategy game where the player leads a civilization from the stone-age all the way to future tech, there is more than one way to win, achieving one of a number of different victory conditions through research, exploration, diplomacy, expansion, economic development, government and military conquest. You will face other civilizations, either online as other people or played by the computer, civilization 5 features a advanced diplomacy system when dealing with computer controlled civs or computer controlled city-states.",54000,56,369,140
1219,World of Horror,"Feb 20, 2020",3.7,257,257,Experience the quiet terror of this 1-bit love letter to Junji Ito and H.P. Lovecraft. Navigate a hellish roguelite reality with turn-based combat and unforgiving choices. Experiment with your deck of event cards to discover new forms of cosmic horror in every playthrough. The inevitable awaits...,871,59,796,949
1220,Fire Emblem: Shadow Dragon,"Aug 07, 2008",3.2,361,361,"A reinvention of the original NES titles with revamped graphics and intuitive touch control, Fire Emblem: Shadow Dragon will finally introduce longtime fans to the stories that gave birth to the series nearly 20 years ago in Japan, while introducing the Fire Emblem franchise to a broader audience of strategy and chess fans. Fire Emblem: Shadow Dragon also reveals the back story of Marth, the original lead character in the Fire Emblem series introduced and made popular in North America by the Super Smash Bros. series of fighting games.",19000,78,808,235
1221,Tomodachi Life,"Apr 18, 2013",3.7,281,281,"Tomodachi Life is a communication game for the 3DS in which players can convert their Miis into Tomodachis (or create new ones) and put them in a wide range of scenarios ranging from charming to utterly ridiculous. A key feature of the game is its text-to-speech tech which outputs user generated text as computerized speech in seven languages (EFIGS, Japanese and Korean).",34000,59,180,133
1222,Downwell,"oct. 14, 2015",3.5,363,363,Downwell is a curious game about a young man with guns for boots venturing down a well in search of untold treasures. Make your way further and further down into a darkness filled with nasty creatures and mysterious secrets and collect the spectacular red gems scattered about the rocks. Step into an oddly placed shop to buy some helpful items or level up between caverns to battle well dwelling monsters and uncover hidden caves filled with riches and relics. No two trips down the well are ever the same!,37000,60,659,219
1223,SpongeBob SquarePants: Battle For Bikini Bottom,"oct. 31, 2003",3.8,326,326,"Bikini Bottom is under attack by robots! Help Spongebob, Patrick, and Sandy save Bikini Bottom from evil robots! The Duplicatotron 3000 is creating an army of robots running amock the city, beach, fields, and everywhere else! With many different worlds to explore and sights to see, this adventure is like none other! References and plenty areas from the show are made to be explored around. The further you delve into the world, the more you learn about the origin of these robots. Are YOU brave enough to save Bikini Bottom?",34000,22,370,216
1224,LEGO Harry Potter: Years 1-4,"Jun 25, 2010",3.2,349,349,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.
             

              Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames.",41000,53,449,113
1225,Dragon Quest V: Hand of the Heavenly Bride,"Jul 17, 2008",4.2,371,371,"The legend of Zenithia continues!
             

              What begins as an innocent voyage of a boy traveling alongside his father develops into an eye-opening adventure that transcends generations. You - a hero in the making - determine your own path, choose your own wife and befriend a wagonload of quirky monsters along the way.",14000,85,1000,478
1226,Fear & Hunger,"Dec 11, 2018",3.8,48,48,A dark fantasy survival horror RPG in which players must uncover the secrets of the dungeon of Fear & Hunger.,110,39,167,185
1227,For Honor,"Feb 13, 2017",2.8,236,236,"Enter the chaos of war as a bold Knight, a brutal Viking, or a deadly Samurai. Play the thrilling story campaign or fight in brutal PvP modes, all on new dedicated servers. Enjoy an evolved experience with 18 Heroes, 18 maps, new PvP and ranked modes, thousands of gear items, and more.",41000,56,579,91
1228,Sonic Lost World,"oct. 18, 2013",2.5,395,395,"When the Deadly Six threaten to destroy his world, Sonic’s new moves & power-ups are the only way to defeat them before it’s too late!
             

              This is the first out of the three titles of Sega and Nintendo's exclusive collaboration, the others being Mario & Sonic at the Sochi 2014 Olympic Winter Games and Sonic Boom: Rise of Lyric/Sonic Boom: Shattered Crystal.",25000,34,498,214
1229,Bug Fables: The Everlasting Sapling,"nov. 21, 2019",4.1,357,357,"Bug Fables: The Everlasting Sapling is an adventure RPG following three heroes, Vi, Kabbu, and Leif, as they embark on an epic quest in Bugaria in search of treasure and immortality. The game combines flat objects with 3D physics as the player jumps and utilizes the heroes’ unique abilities to solve puzzles and stun enemies while exploring a variety of unique, colorful areas. Battles are turn-based and with timed button inputs that can enhance your abilities.",1000,146,11000,535
1230,Hyrule Warriors: Age of Calamity,"nov. 19, 2020",3.5,531,531,"See Hyrule 100 years before the Legend of Zelda: Breath of the Wild game and experience the events of the Great Calamity.
             

              Join the struggle that brought Hyrule to its knees. Learn more about Zelda, the four Champions, the King of Hyrule and more through dramatic cutscenes as they try to save the kingdom from Calamity. The Hyrule Warriors: Age of Calamity game is the only way to see firsthand what happened 100 years ago.
             

              Battle hordes of Hyrule’s most formidable foes. From barbaric Bokoblins to towering Lynels, menacing monsters have emerged in droves. In addition to Link and Zelda, take control of characters like the four Champions and a young Impa. Use their distinct abilities to carve through hundreds of enemies to save Hyrule from the impending Calamity.",27000,308,11000,695
1231,LEGO Batman 3: Beyond Gotham,"nov. 11, 2014",3.1,373,373,The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth.,29000,37,801,113
1232,Moonscars,"Sep 27, 2022",2.9,97,97,"Push the limits of your combat skills, and master new abilities to progress through an unforgiving nonlinear 2D world. Face off against the relentless darkness that seeks to destroy you. In Moonscars, every death is a lesson learnt—and as you overcome each challenge, new truths will be revealed.",248,24,179,212
1233,The Witcher 3: Wild Hunt - Hearts of Stone,"oct. 12, 2015",4.4,159,159,"Step again into the shoes of Geralt of Rivia, a professional monster slayer, this time hired to defeat a ruthless bandit captain, Olgierd von Everec, a man who possesses the power of immortality.
              
              This expansion to ""The Witcher 3: Wild Hunt"" packs over 10 hours of new adventures, introducing new characters, powerful monsters, unique romance and a brand new storyline shaped by your choices.",31000,39,487,106
1234,Remnant: From the Ashes,"Aug 20, 2019",3.2,304,304,"The world is in ruins. Only a remnant of mankind remains, hunted to near extinction by horrors from another world. As one of the few survivors left, you will venture into portals to fantastic realms to gather the resources and firepower needed to fight back and retake what was lost.
             

              Remnant: From the Ashes is a third-person survival-action game set in a post-apocalyptic world overrun by mythical creatures. The game provides players and up to three of their friends with a unique, customizable gameplay experience filled with intense shooting and melee combat, gear and weapon crafting, character progression and dynamically-generated levels that offer an infinite number of ways to explore and take on deadly monsters and epic bosses.",21000,71,1000,180
1235,Halo 5: Guardians,"oct. 27, 2015",2.5,500,500,"Halo 5: Guardians delivers epic multiplayer experiences that span multiple modes, full-featured level building tools, and another chapter in the Master Chief saga. The Master Chief saga continues, with solo and up to 4-player cooperative experience that spans three worlds. A mysterious and unstoppable force threatens the galaxy. The Spartans of Fireteam Osiris and Blue Team must embark on a journey that will change the course of history and the future of mankind.",35000,31,602,257
1236,Hearthstone,"Mar 11, 2014",2.9,212,212,"Sheathe your sword, draw your deck, and get ready for Hearthstone - the fast paced strategy card game that's easy to learn and massively fun. Start a free game on Battle.net and play your cards to sling spells, summon creatures, and command the heroes of Warcraft in duels of epic strategy.
             

              With powerful prebuilt decks, and hundreds of additional cards to win, craft or purchase - your collection never stops evolving.
             

              Challenge players of all skill levels on Battle.net or hone your skills in practice matches against some of the greatest strategists of Azeroth - Thrall, Uther, Gul'dan, and more!",55000,105,128,24
1237,Ultimate Spider-Man,"Sep 21, 2005",3.6,300,300,"Based on the comic book of the same name, Ultimate Spider-Man lets you play as either the hero Spider-Man or his arch-nemesis, Venom. Use the unique combat techniques of either Spider-Man or Venom to battle a host of Spider-Man characters. Artistic contributions by the creators of the series make for an authentic Spider-Man experience.",37000,25,382,280
1238,Chop Goblins,"Dec 12, 2022",3.5,56,56,"Pursue the malevolent Chop Goblins through time, and foil them with devastating weapons, in this bite-sized FPS from the creator of Dusk, Iron Lung, and Squirrel Stapler",195,4,42,38
1239,Secret of Mana,"Aug 06, 1993",3.3,413,413,"Initially released in Japan in 1993, Secret of Mana took the world by storm with its innovative real-time battle system and gorgeously rendered world. It continues to stand out among other action RPGs for its seamless gameplay that anyone from beginner to veteran can enjoy.
             

              One of the most memorable elements of the Mana series is the Ring Command menu system. With the single press of a button, a ring-shaped menu appears on the screen, where players can use items, change weapons, and do a variety of other actions without needing to switch screens. This Ring Command menu system for which the Mana series is so well known was first introduced in Secret of Mana and has since appeared in most games in the series.
             

              Play as Randi and his two companions, Primm and Popoi, as they adventure all around the world. At the center of our epic story is the mystical power of Mana. Battle the empire in its quest for control of Mana. Befriend the eight elementals who wield the forces of nature itself. Numerous encounters await at every turn.",19000,57,13000,511
1240,428: Shibuya Scramble,"Dec 04, 2008",4.2,249,249,"A kidnapping on the streets of Shibuya brings together a hot-blooded detective, hard-hitting journalist, former gang leader, the head researcher of a big pharma manufacturer and a part-timer stuck in cat costume for a series of events each more unexpected and outrageous than the last.",676,87,1000,588
1241,Potion Craft,"Sep 21, 2021",3.2,77,77,"Potion Craft is an alchemist simulator where you physically interact with your tools and ingredients to brew potions. You're in full control of the whole shop: invent new recipes, attract customers and experiment to your heart's content. Just remember: the whole town is counting on you.",471,83,233,187
1242,Mega Man Legends,"Dec 18, 1997",3.7,361,361,"THE BLUE BOMBER BLASTS INTO A WHOLE NEW DIMENSION
             

              Mega Man blasts his way into the third dimension in an amazing new adventure. Mega Man Legends combines the best of classic Mega Man action with enormous bosses, a riveting storyline and all the depth of the hottest RPG.
             

              Explore vast 3-D worlds in your quest to find the treasure of all treasures, the Mother Lode. You'll love the new 3-D graphics, deadly weapons and non-stop action... unless of course, you're a boss.
             

              * Awesome Weapons!
              
              * Diabolical Bosses!
              
              * Legendary Gameplay!
              
              * Non-Stop 3-D Action!",14000,51,851,364
1243,Xenoblade Chronicles: Future Connected,"May 29, 2020",3.5,232,232,Xenoblade Chronicles: Future Connected takes place one year after the main story and delves deeper into the relationship between Shulk and Melia in the face of a mysterious new threat.,19000,55,485,97
1244,Crab Game,"oct. 29, 2021",2.5,96,96,"Crab Game is a First-Person Multiplayer game where you play through several different minigames based on children's games, until only one player stands victorious.",23000,14,117,22
1245,NEET Girl Date Night,"oct. 21, 2022",2.7,21,21,Your friend sets you up on a date with his NEET Cousin Kara.,106,1,44,42
1246,Dante's Inferno,"Feb 04, 2010",3.2,321,321,"Dante's Inferno is an epic single player, third-person action adventure game inspired by ""Inferno"", part one of Dante Alighieri's classic Italian poem, ""The Divine Comedy."" Featuring nonstop action rendered at 60 frames-per-second, signature and upgradable weapons, attack combos and mana-fueled spells and the choice of punishing or absolving the souls of defeated enemies, it is a classic Medieval tale of the eternal conflict with sin and the resulting horrors of hell, adapted for a new generation and a new medium.",26000,40,567,334
1247,Haunting Ground,"Apr 21, 2005",3.8,281,281,"The story follows Fiona Belli, a young girl who the player must guide through Belli Castle and its immediate environments in an effort to escape. Along the way, players must solve puzzles, unlock doors and evade, hide or attempt to fight against the castle's inhabitants. Fiona is accompanied by Hewie, a White Shepherd and the two must work as a team to solve certain puzzles and outwit their pursuers.",597,29,625,572
1248,Assassin's Creed Rogue,"nov. 11, 2014",3.2,384,384,"1751. North America. Amidst the chaos and violence of the French and Indian War, Shay Patrick Cormac, a fearless young member of the Assassins order, undergoes a dark transformation that will shape the future of the brotherhood forever. After arguing over a dangerous mission gone tragically wrong, Shay is betrayed by the Assassins who attempt to end his life. Cast aside by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him and ultimately become the most feared Assassin hunter in history. Introducing Assassin’s Creed Rogue, the darkest chapter in the Assassin’s Creed franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin Hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North Atlantic in pursuit of your ultimate goal to bring down the Assassins.",34000,27,861,330
1249,Garten of Banban 2,"Mar 03, 2023",1.5,16,16,"Continue the story of Banban’s Kindergarten. Delve deeper into the bizarre establishment where the place was left suspiciously empty. Try to survive the unexpected residents, all while uncovering the truth behind the place…",55,0,6,3
1250,Pokémon Stadium,"Apr 30, 1999",3.3,340,340,"In the game's Stadium Mode, one player competes in 80 different battles, divided into four tournaments. Beat the Stadium Mode and you're in for a bonus battle against the ultimate Pokémon warrior, Mewtwo, as well as a secret mode that gives you 80 brand-new, and devilishly tough battles. There is virtually no way you can beat the secret mode without having trained your own, elite Pokémon. One to four players compete against each other or the computer in a no-holds-barred battle with customizable rules. You can select rental Pokémon for these battles -- but that makes them much too predictable since their selection of techniques isn't determined by the trainer. You can also select quick and easy versus and random battles.",54000,16,369,157
1251,Outlast II,"Apr 25, 2017",2.8,279,279,"Outlast 2 is the sequel to the acclaimed survival horror game Outlast. Set in the same universe as the first game, but with different characters and a different setting, Outlast 2 is a twisted new journey into the depths of the human mind and its dark secrets. No conflict is ever black and white.",27000,44,891,253
1252,Elden Ring: Shadow of the Erdtree,releases on TBD,4.8,18,18,An expansion to Elden Ring setting players on a new adventure in the Lands Between.,1,0,39,146
1253,Fire Emblem: Thracia 776,"Sep 01, 1999",4.1,329,329,"Fire Emblem: Thracia 776 is a Japanese tactical role-playing game developed by Intelligent Systems and published by Nintendo, and the fifth installment in the Fire Emblem series. It is also the third and final Fire Emblem series title to be released on the Super Famicom.
             

              Fire Emblem: Thracia 776 takes place between Chapters 5 and 6 of the previous game, Fire Emblem: Seisen no Keifu. Several characters from Fire Emblem: Seisen no Keifu appear, such as Leaf, Fin, and Nanna. It takes place in the Thracian peninsula in southeastern Jugdral.",820,65,771,329
1254,Moonlighter,"May 29, 2018",3.2,280,280,"Moonlighter is an Action RPG with rogue-lite elements that demonstrates two sides of the coin – revealing everyday routines of Will, an adventurous shopkeeper that secretly dreams of becoming a hero.",22000,134,12000,309
1255,Pikmin 3,"Jul 13, 2013",4,388,388,"Explore an alien world like no other in the third edition of Nintendo's strategic adventure series. In Pikmin 3, players take command of three explorers and a legion of adorable Pikmin in a fight for survival. By employing the unique abilities of these tiny Pikmin creatures, players will solve puzzles, battle dangerous predators, and recover food needed to save the explorers’ depleted home planet.",27000,39,797,385
1256,Five Nights at Freddy's 4,"Jul 23, 2015",2.8,199,199,"This time, the terror has followed you home.
             

              In this last chapter of the Five Nights at Freddy's original story, you must once again defend yourself against Freddy Fazbear, Chica, Bonnie, Foxy, and even worse things that lurk in the shadows. Playing as a child whose role is yet unknown, you must safeguard yourself until 6am by watching the doors, as well as warding off unwanted creatures that may venture into your closet or onto the bed behind you.
             

              You have only a flashlight to protect yourself. It will scare away things that may be creeping at the far end of the hallways, but be careful, and listen. If something has crept too close, then shining lights in its eyes will be your end.",33000,13,216,111
1257,Chaos;Head Noah,"Feb 26, 2009",4,84,84,"Adventure game of psycho suspense touch that makes 'Delusion' key word. - Story advanced by two or more aspects centering on continuous bizarre murder event (The new generation's frenzy) that occurs in Shibuya. - Six heroines appear. In heroine's peculiar route, various ends and the mysteries",199,73,215,174
1258,Nier: Automata - The End of Yorha Edition,"oct. 06, 2022",4.5,68,68,"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.
             

              The NieR: Automata - The End of YoRHa Edition includes the game itself and comes packed with DLC and bonus content for the full experience of the award-winning post-apocalyptic action RPG.",370,59,240,147
1259,Phoenix Wright: Ace Attorney - Spirit of Justice,"Jun 09, 2016",3.7,402,402,"Ace Attorney 6 continues the investigation and courtroom of its predecessors, in which players take the role of the defense attorneys; Phoenix Wright, Apollo Justice, and Athena Cykes, and try to defend their clients. The game continues the 3D navigation introduced in Phoenix Wright: Ace Attorney âˆ’ Dual Destinies, allowing players to navigate environments from various angles. Along with returning gameplay elements, such as the Mood Matrix introduced in Dual Destinies, the game introduces Spirit Medium Vision, in which the players are shown the memories of victims moment before their deaths and must find contradictions in their five senses to determine what really happened.",24000,96,12000,506
1260,Crysis,"nov. 13, 2007",3.2,224,224,"From the makers of Far Cry, Crysis offers FPS fans the best-looking, most highly-evolving gameplay, requiring the player to use adaptive tactics and total customization of weapons and armor to survive in dynamic, hostile environments including Zero-G.",3000,26,561,241
1261,Fallout Shelter,"Jun 14, 2015",2.4,172,172,"Fallout Shelter puts you in control of a state-of-the-art underground Vault from Vault-Tec. Build the perfect Vault, keep your Dwellers happy, and protect them from the dangers of the Wasteland.
             

              Vault-Tec has provided the tools, but the rest is up to you. What are you waiting for? Get started building your Vault today for free.",53000,44,214,38
1262,Sonic and the Secret Rings,"Feb 20, 2007",1.9,362,362,"Sonic and the Secret Rings is a three-dimensional platform and action game featuring an on-rails style of movement. Sonic the Hedgehog, the series' main character, is the game's only player character. He is controlled exclusively with the Wii Remote, which is held horizontally like a traditional gamepad.",31000,18,348,160
1263,FTL: Faster Than Light,"Sep 14, 2012",3.8,325,325,"In FTL you experience the atmosphere of running a spaceship trying to save the galaxy. It's a dangerous mission, with every encounter presenting a unique challenge with multiple solutions. What will you do if a heavy missile barrage shuts down your shields? Reroute all power to the engines in an attempt to escape, power up additional weapons to blow your enemy out of the sky, or take the fight to them with a boarding party? This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.",38000,64,902,202
1264,Mario Party 2,"Dec 17, 1999",3.7,348,348,"Mario and the gang are back for another round of Bowser-bashin' party action! Watch as your favorite Nintendo characters don different duds for each of the five all-new Adventure Boards! A slew of new tricks and devices bring new levels of challenge and excitement to board game play. New board maps, new Mini-Games, new action and new surprises means a whole new batch of fun! Get ready to unleash your best Hip Drops, hammer swings and high-flying high junks for another round of frenzied multi-player action!",39000,11,199,132
1265,Attack of the Friday Monsters! A Tokyo Tale,"Jul 17, 2013",3.7,178,178,"Step into the life of Sohta, the young son of a family that has just set up a dry cleaners shop in the idyllic town of Fuji no Hana. In his interactions with the town's unique residents, episodic mysteries are revealed that portend to the strange events surrounding the appearance of a giant monster every Friday. And finally, when Friday evening falls, the giant monster will appear right before your eyes!
             

              Collect the ""Monster Glims"" scattered around town to form Monster Cards, and once you've collected five cards, Sohta can battle his friends for dominance. Winning at Monster Cards gives you the chance to collect useful information, more Monster Glims, and even to cast a secret spell on your friends that will make them fall down at your whim. Why? Because that's the rules!
             

              A touching drama about family, friendship, and the innocence of being a child unfolds against hand-drawn backgrounds, charming music, and memorable characters.",393,22,385,298
1266,Animal Crossing,"Dec 14, 2001",3.9,533,533,"Occasionally strange but completely addictive, Nintendo's Animal Crossing for the GameCube is not so much a game as a simulation of life on a small town. Players begin the game by setting out to live life on their own in a colorful town, where they are greeted by a seemingly endless supply of things to do and characters to meet.
             

              Time passes in Animal Crossing in real-time, as the month, day, season, and time of day matches that of the player's. Holiday seasons come and go in Animal Crossing, just as they would in the real world. Experience the freedom to fish, decorate your house, go bug catching, garden, write letters, and even play original Nintendo NES games in this imaginative, and addictive game.",39000,51,389,317
1267,Fire Emblem Fates: Revelation,"Jul 09, 2015",2.3,296,296,"Fire Emblem Fates is split into three story paths. Revelation is the third story of the Fire Emblem Fates games and is available as DLC in either of the base games. You need to be have completed Chapter 6 in the either game to access the DLC's path.
             

              Revelations has the scouting missions that are available for experience and money like in Birthright but the mission objectives are more complicated like Conquest. In Revelations, the player chooses to not align with either kingdom and it reveals extra information about the Birthright and Conquest storylines.",25000,52,707,244
